#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 1024 0.263334
PHASE1 16 1024 0.117927
PHASE2 16 1024 0.120444
#TOTAL RUNTIME: 2.699994 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 128 0.007755
PHASE1 16 128 0.005456
PHASE2 16 128 0.001774
#TOTAL RUNTIME: 0.191294 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 16 0.003774
PHASE1 16 16 0.002365
PHASE2 16 16 0.001026
#TOTAL RUNTIME: 0.100459 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 2048 0.545357
PHASE1 16 2048 0.278086
PHASE2 16 2048 0.242559
#TOTAL RUNTIME: 5.521243 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 256 0.013306
PHASE1 16 256 0.008421
PHASE2 16 256 0.003883
#TOTAL RUNTIME: 0.201278 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 32 0.006951
PHASE1 16 32 0.003736
PHASE2 16 32 0.002557
#TOTAL RUNTIME: 0.125726 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 4096 1.511320
PHASE1 16 4096 0.789419
PHASE2 16 4096 0.677709
#TOTAL RUNTIME: 15.326118 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 512 0.110225
PHASE1 16 512 0.050219
PHASE2 16 512 0.051850
#TOTAL RUNTIME: 1.178712 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 64 0.007646
PHASE1 16 64 0.004312
PHASE2 16 64 0.002246
#TOTAL RUNTIME: 0.137091 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 8192 5.515532
PHASE1 16 8192 2.833749
PHASE2 16 8192 2.565647
#TOTAL RUNTIME: 55.437736 seconds

