#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 1024 0.275195
PHASE1 16 1024 0.149422
PHASE2 16 1024 0.101471
#TOTAL RUNTIME: 2.829503 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 128 0.018436
PHASE1 16 128 0.008259
PHASE2 16 128 0.004229
#TOTAL RUNTIME: 0.182042 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 16 0.005667
PHASE1 16 16 0.003356
PHASE2 16 16 0.001078
#TOTAL RUNTIME: 0.098516 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 2048 0.654115
PHASE1 16 2048 0.279747
PHASE2 16 2048 0.316083
#TOTAL RUNTIME: 6.655655 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 256 0.033928
PHASE1 16 256 0.017720
PHASE2 16 256 0.007425
#TOTAL RUNTIME: 0.420741 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 32 0.012975
PHASE1 16 32 0.005811
PHASE2 16 32 0.002579
#TOTAL RUNTIME: 0.123124 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 4096 2.178102
PHASE1 16 4096 0.934639
PHASE2 16 4096 1.156424
#TOTAL RUNTIME: 22.058399 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 512 0.404525
PHASE1 16 512 0.167345
PHASE2 16 512 0.198663
#TOTAL RUNTIME: 3.776442 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 64 0.022917
PHASE1 16 64 0.010538
PHASE2 16 64 0.004166
#TOTAL RUNTIME: 0.241154 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 8192 7.010561
PHASE1 16 8192 3.034697
PHASE2 16 8192 3.818732
#TOTAL RUNTIME: 70.514374 seconds

