#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 1024 0.053573
PHASE1 16 1024 0.032517
PHASE2 16 1024 0.019111
#TOTAL RUNTIME: 0.565017 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 128 0.004570
PHASE1 16 128 0.003169
PHASE2 16 128 0.000986
#TOTAL RUNTIME: 0.077959 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 16 0.003128
PHASE1 16 16 0.002068
PHASE2 16 16 0.000636
#TOTAL RUNTIME: 0.066092 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 2048 0.230602
PHASE1 16 2048 0.136152
PHASE2 16 2048 0.088991
#TOTAL RUNTIME: 2.359206 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 256 0.008342
PHASE1 16 256 0.005051
PHASE2 16 256 0.002503
#TOTAL RUNTIME: 0.120181 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 32 0.002734
PHASE1 16 32 0.001918
PHASE2 16 32 0.000562
#TOTAL RUNTIME: 0.051202 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 4096 0.833217
PHASE1 16 4096 0.472670
PHASE2 16 4096 0.347142
#TOTAL RUNTIME: 8.425630 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 512 0.039597
PHASE1 16 512 0.021584
PHASE2 16 512 0.014206
#TOTAL RUNTIME: 0.428323 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 64 0.008951
PHASE1 16 64 0.005160
PHASE2 16 64 0.002920
#TOTAL RUNTIME: 0.118197 seconds
#METRIC RANKS TERRITORIES SECONDS
GLOBAL 16 8192 3.508114
PHASE1 16 8192 1.904707
PHASE2 16 8192 1.545413
#TOTAL RUNTIME: 35.281678 seconds
#############################################
